Hora,SO2 ,NO ,PM1.0 ,PM2.5 ,O3 ,CO,NO2 
1,3,13,67,23,33,0.1,34
2,3,6,71,21,35,0.1,32
3,4,5,15,19,36,0.1,27
4,5,4,47,22,31,0.1,35
5,3,5,66,13,44,0.1,22
6,3,4,43,13,46,0.1,19
7,3,6,18,8,14,0.1,52
8,3,8,16,13,25,0.1,41
9,3,10,52,18,46,0.1,23
10,4,15,42,13,46,0.1,26
11,3,7,38,13,61,0.1,13
12,3,5,28,9,69,0.1,7
13,3,5,27,13,71,0.1,6
14,3,5,38,12,73,0.1,7
15,3,5,42,11,78,0.1,6
16,3,5,25,12,76,0.1,8
17,3,5,19,11,82,0.1,7
18,4,5,22,13,62,0.1,20
19,4,5,19,11,45,0.1,27
20,3,5,18,12,46,0.1,24
21,3,5,21,11,34,0.1,36
22,4,6,4,4,30,0.1,36
23,3,6,4,9,42,0.1,18
24,3,6,95,32,39,0.1,30
1,3,4,43,8,44,0.1,29
2,3,5,10,9,54,0.1,17
3,3,5,20,11,51,0.1,21
4,3,5,17,9,46,0.1,23
5,3,5,14,11,50,0.1,20
6,3,5,18,11,56,0.1,13
7,3,5,14,9,46,0.1,21
8,3,8,18,11,41,0.1,27
9,3,7,32,14,57,0.1,15
10,3,5,39,11,68,0.1,6
11,3,7,20,9,68,0.1,7
12,3,7,11,8,69,0.1,8
13,3,5,5,13,72,0.1,6
14,3,6,16,14,70,0.1,7
15,3,6,22,13,72,0.1,6
16,3,10,25,12,74,0.1,5
17,3,4,15,11,74,0.1,6
18,3,6,78,25,64,0.1,15
19,3,8,73,15,46,0.1,32
20,3,4,46,13,42,0.1,32
21,3,6,31,13,21,0.1,50
22,3,6,21,10,29,0.1,43
23,3,5,14,11,52,0.1,20
24,3,5,10,9,51,0.1,19
1,3,8,21,12,51,0.1,17
2,3,5,18,9,54,0.1,13
3,3,6,14,9,55,0.1,10
4,3,5,16,9,57,0.1,9
5,3,5,9,8,51,0.1,15
6,3,6,8,10,52,0.1,14
7,3,5,11,11,42,0.1,22
8,3,6,19,11,49,0.1,20
9,3,7,19,11,57,0.1,14
10,3,6,15,9,64,0.1,8
11,3,7,18,10,68,0.1,7
12,3,6,17,9,69,0.1,7
13,3,9,20,8,69,0.1,7
14,3,4,22,8,74,0.1,6
15,3,6,22,8,70,0.1,6
16,3,6,19,8,69,0.1,5
17,3,8,13,8,65,0.1,6
18,3,9,10,8,61,0.1,7
19,3,7,6,7,50,0.1,14
20,3,8,6,9,35,0.1,27
21,3,4,8,11,34,0.1,28
22,3,5,7,7,37,0.1,25
23,3,5,6,8,44,0.1,22
24,3,8,6,8,47,0.1,18
1,3,6,8,7,48,0.1,17
2,3,10,6,7,51,0.1,12
3,3,5,4,6,47,0.1,8
4,3,6,9,8,45,0.1,13
5,3,7,8,7,42,0.1,20
6,3,9,5,6,45,0.1,18
7,3,5,5,8,39,0.1,21
8,3,8,11,8,33,0.1,24
9,3,9,20,11,48,0.1,17
10,4,7,12,6,59,0.1,8
11,3,6,14,7,62,0.1,7
12,5,6,10,6,66,0.1,5
13,3,5,10,6,65,0.1,5
14,3,7,10,6,66,0.1,5
15,3,6,10,6,68,0.1,5
16,3,5,10,6,69,0.1,5
17,3,6,17,6,63,0.1,6
18,3,6,7,4,52,0.1,13
19,3,7,5,8,53,0.1,12
20,3,5,8,7,46,0.1,16
21,3,5,4,6,45,0.1,14
22,3,6,6,7,38,0.1,18
23,3,6,6,6,48,0.1,10
24,3,6,5,6,57,0.1,5
1,3,6,6,6,41,0.1,10
2,3,5,6,8,33,0.1,11
3,3,6,4,7,29,0.1,12
4,3,6,7,8,35,0.1,10
5,3,6,6,6,37,0.1,10
6,3,8,8,8,35,0.1,17
7,3,11,20,11,12,0.1,36
8,3,18,31,9,13,0.1,39
9,3,9,43,13,39,0.1,20
10,3,6,39,8,55,0.1,10
11,3,7,19,6,59,0.1,9
12,3,7,24,6,62,0.1,7
13,3,6,17,5,63,0.1,7
14,3,6,12,6,63,0.1,6
15,3,6,9,6,64,0.1,7
16,3,7,10,6,67,0.1,8
17,3,5,24,13,66,0.1,8
18,3,6,51,7,65,0.1,10
19,3,6,13,4,69,0.1,7
20,3,6,4,7,71,0.1,6
21,3,6,9,10,65,0.1,10
22,3,5,10,6,62,0.1,12
23,3,5,4,6,71,0.1,6
24,3,7,4,6,73,0.1,6
1,3,6,4,4,73,0.1,7
2,3,7,4,5,74,0.1,6
3,3,7,4,6,71,0.1,8
4,3,6,4,6,73,0.1,6
5,3,6,5,6,75,0.1,6
6,3,6,6,7,75,0.1,7
7,3,6,12,9,75,0.1,8
8,3,8,13,6,76,0.1,8
9,3,7,14,7,80,0.1,7
10,3,6,17,6,80,0.1,7
11,3,7,25,6,80,0.1,8
12,3,7,15,6,80,0.1,8
13,3,7,18,6,80,0.1,9
14,3,7,16,6,81,0.1,11
15,3,7,18,8,81,0.1,10
16,3,6,14,6,76,0.1,9
17,3,6,10,6,74,0.1,11
18,3,6,10,6,75,0.1,8
19,3,8,12,8,73,0.1,8
20,3,20,12,6,69,0.1,11
21,3,8,14,7,69,0.1,11
22,3,6,8,5,72,0.1,9
23,3,7,11,6,68,0.1,11
24,3,6,12,5,69,0.1,9
1,3,6,13,6,70,0.1,8
2,3,10,20,6,70,0.1,8
3,3,7,20,6,70,0.1,8
4,3,6,25,6,70,0.1,8
5,3,7,27,7,69,0.1,9
6,3,5,22,7,63,0.1,14
7,3,7,8,6,57,0.1,19
8,3,8,18,8,55,0.1,22
9,3,7,27,11,56,0.1,21
10,3,8,42,11,70,0.1,9
11,3,7,23,6,75,0.1,5
12,3,7,23,8,76,0.1,6
13,3,8,24,6,73,0.1,13
14,3,7,13,7,73,0.1,9
15,3,7,23,10,76,0.1,7
16,3,9,28,9,78,0.1,5
17,3,5,27,9,77,0.1,6
18,3,7,22,9,72,0.1,7
19,3,9,22,10,66,0.1,11
20,3,5,23,10,64,0.1,10
21,3,8,18,10,49,0.1,24
22,3,6,18,9,39,0.1,25
23,3,7,15,9,37,0.1,23
24,3,7,9,7,48,0.1,11
1,3,8,5,4,45,0.1,12
2,3,6,4,6,39,0.1,12
3,3,7,14,13,42,0.1,10
4,3,6,14,8,45,0.1,10
5,3,6,16,9,32,0.1,18
6,3,11,22,10,28,0.1,28
7,3,8,24,12,21,0.1,40
8,3,11,26,11,25,0.1,35
9,3,13,43,15,41,0.1,29
10,3,6,38,11,71,0.1,11
11,3,9,33,11,78,0.1,9
12,3,6,29,8,82,0.1,9
13,3,8,18,8,79,0.1,8
14,3,7,19,7,77,0.1,6
15,3,6,13,8,77,0.1,6
16,3,8,11,7,80,0.1,6
17,3,5,15,10,84,0.1,7
18,3,7,6,6,76,0.1,9
19,3,7,11,10,51,0.1,26
20,3,7,22,12,37,0.1,33
21,3,6,12,11,35,0.1,31
22,3,9,9,10,17,0.1,39
23,3,8,7,9,19,0.1,40
24,3,7,6,9,29,0.1,29
1,3,7,6,6,38,0.1,19
2,3,7,6,8,37,0.1,15
3,3,6,8,7,38,0.1,13
4,3,9,4,5,34,0.1,13
5,3,6,7,6,34,0.1,15
6,3,8,4,5,24,0.1,24
7,3,10,6,7,21,0.1,32
8,3,9,12,10,25,0.1,34
9,3,8,37,15,53,0.1,15
10,3,7,48,8,65,0.1,10
11,3,7,30,8,74,0.1,7
12,3,8,24,5,77,0.1,6
13,3,7,15,4,78,0.1,6
14,3,7,10,5,76,0.1,6
15,3,6,8,6,74,0.1,5
16,3,7,10,6,75,0.1,6
17,3,6,14,7,75,0.1,7
18,3,7,26,7,76,0.1,6
19,3,7,31,8,68,0.1,8
20,3,7,18,10,60,0.1,12
21,3,6,18,8,54,0.1,17
22,3,6,18,8,54,0.1,16
23,3,8,13,6,46,0.1,18
24,3,8,4,6,20,0.1,32
1,4,8,4,6,35,0.1,18
2,3,8,5,7,46,0.1,10
3,3,6,4,5,43,0.1,9
4,3,6,5,8,44,0.1,8
5,3,6,6,6,48,0.1,7
6,3,7,5,8,46,0.1,10
7,3,11,6,6,46,0.1,12
8,3,7,4,7,47,0.1,10
9,3,8,34,15,53,0.1,12
10,3,7,50,8,63,0.1,8
11,3,7,21,6,70,0.1,7
12,4,10,5,5,74,0.1,7
13,3,7,10,6,74,0.1,6
14,4,8,21,8,74,0.1,6
15,3,6,18,6,73,0.1,5
16,3,8,9,6,74,0.1,5
17,3,6,6,7,75,0.1,6
18,3,8,9,8,77,0.1,8
19,3,5,6,8,72,0.1,7
20,3,8,6,7,61,0.1,9
21,3,7,4,8,34,0.1,26
22,3,7,10,11,39,0.1,23
23,3,7,8,6,47,0.1,13
24,3,5,4,6,45,0.1,10
1,3,8,4,6,48,0.1,10
2,3,6,4,6,50,0.1,7
3,3,7,4,5,46,0.1,13
4,3,7,4,7,54,0.1,10
5,3,6,10,10,55,0.1,9
6,3,8,7,6,52,0.1,13
7,3,7,9,9,48,0.1,19
8,3,7,15,9,51,0.1,18
9,3,7,33,12,59,0.1,12
10,3,13,54,10,66,0.1,10
11,3,9,36,7,72,0.1,5
12,3,7,20,5,75,0.1,5
13,3,8,6,6,74,0.1,8
14,3,12,7,6,68,0.1,14
15,3,11,8,7,64,0.1,16
16,3,8,6,6,75,0.1,5
17,3,6,8,7,74,0.1,7
18,3,7,11,6,70,0.1,7
19,3,7,6,6,40,0.1,29
20,3,6,4,7,28,0.1,35
21,3,10,7,10,12,0.1,57
22,3,7,4,5,46,0.1,22
23,3,8,9,9,52,0.1,16
24,3,7,13,10,46,0.1,24
1,3,10,14,7,54,0.1,17
2,3,6,14,8,57,0.1,13
3,3,6,18,7,57,0.1,11
4,3,7,18,8,56,0.1,11
5,3,8,13,6,53,0.1,14
6,3,5,14,6,53,0.1,16
7,3,10,17,6,40,0.1,31
8,3,6,7,8,33,0.1,38
9,3,10,18,11,50,0.1,23
10,3,7,19,6,71,0.1,7
11,3,9,11,6,70,0.1,10
12,3,8,11,5,74,0.1,5
13,3,13,10,6,71,0.1,9
14,4,14,8,5,61,0.1,17
15,5,12,10,5,70,0.1,12
16,3,9,13,7,79,0.1,5
17,3,6,14,6,76,0.1,6
18,3,7,18,8,72,0.1,6
19,3,10,16,7,64,0.1,10
20,3,6,12,8,38,0.1,33
21,3,8,14,8,49,0.1,22
22,3,7,12,6,55,0.1,13
23,3,8,13,6,60,0.1,9
24,3,7,14,6,59,0.1,8
1,3,6,18,6,59,0.1,6
2,3,7,9,6,57,0.1,6
3,3,9,10,6,56,0.1,7
4,3,8,6,6,54,0.1,8
5,3,8,14,8,54,0.1,10
6,3,6,14,8,50,0.1,13
7,3,7,18,9,42,0.1,24
8,3,8,21,11,47,0.1,20
9,3,8,39,13,52,0.1,17
10,3,9,58,10,68,0.1,7
11,3,8,35,8,68,0.1,7
12,3,9,8,5,65,0.1,7
13,3,12,15,13,58,0.1,15
14,4,15,52,12,61,0.1,15
15,3,8,47,9,69,0.1,5
16,3,7,42,9,72,0.1,5
17,3,9,9,6,68,0.1,7
18,3,8,4,8,54,0.1,10
19,3,7,4,7,47,0.1,15
20,3,10,6,11,15,0.1,52
21,3,6,14,10,41,0.1,26
22,3,9,4,4,36,0.1,17
23,3,8,4,8,43,0.1,9
24,3,9,4,7,46,0.1,6
1,3,7,4,4,47,0.1,5
2,3,7,4,4,47,0.1,5
3,3,8,6,7,41,0.1,8
4,3,9,5,7,38,0.1,9
5,3,9,15,10,38,0.1,11
6,3,7,17,8,38,0.1,13
7,3,19,28,11,32,0.1,24
8,3,10,10,8,30,0.1,24
9,3,11,46,13,27,0.1,29
10,3,9,34,6,38,0.1,11
11,3,7,14,5,52,0.1,8
12,3,12,56,12,56,0.1,7
13,3,19,70,11,60,0.1,7
14,3,12,31,7,64,0.1,7
15,3,10,20,6,63,0.1,7
16,3,8,25,12,62,0.1,7
17,3,10,58,10,62,0.1,8
18,3,7,59,15,56,0.1,13
19,3,11,90,18,17,0.1,49
20,3,8,69,13,5,0.1,60
21,3,7,11,9,18,0.1,51
22,3,7,9,7,31,0.1,36
23,3,9,4,4,34,0.1,26
24,3,8,18,22,21,0.1,30
1,3,7,73,14,14,0.1,35
2,3,7,22,18,38,0.1,17
3,3,8,14,5,47,0.1,10
4,3,5,63,18,37,0.1,18
5,3,9,77,14,35,0.1,20
6,3,8,50,11,38,0.1,20
7,3,9,5,4,38,0.1,20
8,3,8,4,8,22,0.1,31
9,3,17,5,6,23,0.1,34
10,3,16,26,14,28,0.1,35
11,3,8,10,6,52,0.1,9
12,3,11,15,8,55,0.1,6
13,3,12,26,8,57,0.1,5
14,3,17,22,7,58,0.1,7
15,3,8,44,13,58,0.1,7
16,3,25,38,13,58,0.1,7
17,3,11,28,11,51,0.1,13
18,3,7,71,22,21,0.1,44
19,3,11,122,22,26,0.1,46
20,3,9,68,10,51,0.1,19
21,3,12,16,6,36,0.1,29
22,3,7,4,6,37,0.1,26
23,11,31,4,4,15,0.1,54
24,6,7,4,8,17,0.1,38
1,3,9,70,32,32,0.1,22
2,3,8,88,12,48,0.1,11
3,3,7,15,4,36,0.1,19
4,3,9,4,11,46,0.1,9
5,3,6,125,46,46,0.1,13
6,3,8,67,8,43,0.1,17
7,3,16,19,7,48,0.1,14
8,3,8,4,6,38,0.1,24
9,4,11,16,10,39,0.1,24
10,7,16,13,14,37,0.1,25
11,4,12,106,25,43,0.1,21
12,3,11,90,8,52,0.1,13
13,3,12,38,8,55,0.1,10
14,3,12,40,11,57,0.1,11
15,3,10,36,12,55,0.1,12
16,3,10,30,11,54,0.1,12
17,3,8,26,11,45,0.1,20
18,3,9,17,10,42,0.1,25
19,5,8,6,4,25,0.1,42
20,5,9,32,25,32,0.1,36
21,4,13,22,5,34,0.1,35
22,3,6,4,9,45,0.1,27
23,3,10,4,8,54,0.1,21
24,3,8,32,23,57,0.1,18
1,3,8,121,27,30,0.1,47
2,4,7,56,11,49,0.1,31
3,3,9,19,7,47,0.1,28
4,3,7,10,8,63,0.1,12
5,3,13,21,8,49,0.1,26
6,4,7,22,9,36,0.1,44
7,4,6,10,6,68,0.1,15
8,3,9,11,9,66,0.1,15
9,3,8,27,10,63,0.1,22
10,3,9,41,8,70,0.1,15
11,4,15,63,11,72,0.1,12
12,3,9,49,8,74,0.1,10
13,3,10,41,18,74,0.1,10
14,3,7,51,11,75,0.1,9
15,3,8,34,8,75,0.1,10
16,3,8,29,9,72,0.1,10
17,4,8,17,8,63,0.1,19
18,4,6,16,7,67,0.1,13
19,3,8,15,8,N,0.1,9
20,3,6,10,9,N,0.1,8
21,3,6,6,7,N,0.1,8
22,3,6,19,10,N,0.1,8
23,3,7,10,8,74,0.1,7
24,3,8,16,8,72,0.1,10
1,3,6,10,6,73,0.1,12
2,3,9,14,9,80,0.1,5
3,3,6,20,9,78,0.1,5
4,3,7,18,9,79,0.1,6
5,3,9,14,8,77,0.1,6
6,3,6,18,11,71,0.1,9
